00,PositiveResponse
F5,ReservedForSpecificConditionsNotCorrect
F6,ReservedForSpecificConditionsNotCorrect
F7,ReservedForSpecificConditionsNotCorrect
F8,ReservedForSpecificConditionsNotCorrect
F9,ReservedForSpecificConditionsNotCorrect
FA,ReservedForSpecificConditionsNotCorrect
FB,ReservedForSpecificConditionsNotCorrect
FC,ReservedForSpecificConditionsNotCorrect
FD,ReservedForSpecificConditionsNotCorrect
FE,ReservedForSpecificConditionsNotCorrect
FF,ISOSAEReserved
